$Date,$Time,YXC-401B,YXI-401B,YXI-402B,YXI-403B,YXI-404B
02/15/16,03:36:00,1700,1841.486,592.1532,5530.79,28716.53
02/15/16,03:37:00,1700,1840.958,588.9415,5516.234,28648.15
02/15/16,03:38:00,1700,1840.965,575.7766,5386.797,27974.23
02/15/16,03:39:00,1700,1841.231,596.1512,5574.446,28948.62
02/15/16,03:40:00,1700,1840.958,600.8871,5651.274,29352.54
02/15/16,03:41:00,1700,1841.652,577.6458,5383.524,27952.29
02/15/16,03:42:00,1700,1841.535,580.9246,5440.771,28261.63
02/15/16,03:43:00,1700,1840.462,598.7576,5611.131,29150.43
02/15/16,03:44:00,1700,1840.779,596.1583,5559.18,28868.5
02/15/16,03:45:00,1700,1840.928,582.9858,5451.124,28317.18
02/15/16,03:46:00,1700,1840.8,587.9167,5516.293,28660.16
02/15/16,03:47:00,1700,1840.302,592.1636,5550.147,28851.31
02/15/16,03:48:00,1700,1841.257,588.2768,5514.093,28626.56
02/15/16,03:49:00,1700,1840.968,586.1993,5492.343,28529.04
02/15/16,03:50:00,1700,1841.259,592.1639,5545.411,28821.44
02/15/16,03:51:00,1700,1840.865,594.3055,5567.977,28920.42
02/15/16,03:52:00,1700,1841.245,594.3099,5579.315,28986.17
02/15/16,03:53:00,1700,1842.785,580.915,5407.006,28071.03
02/15/16,03:54:00,1700,1841.542,592.5554,5539.145,28762.56
02/15/16,03:55:00,1700,1841.538,595.0018,5584.033,28979.94
02/15/16,03:56:00,1700,1840.587,594.5643,5578.474,28979.37
02/15/16,03:57:00,1700,1840.972,594.3201,5566.813,28924.35
02/15/16,03:58:00,1700,1840.585,598.8217,5597.346,29086.91
02/15/16,03:59:00,1700,1840.775,596.8115,5590.383,29027.15
02/15/16,04:00:00,1700,1840.991,591.2662,5534.392,28740.36
02/15/16,04:01:00,1700,1840.775,576.1001,5391.123,28002.68
02/15/16,04:02:00,1700,1841.55,584.5369,5462.331,28373.11
02/15/16,04:03:00,1700,1841.33,595.377,5551.461,28812.7
02/15/16,04:04:00,1700,1840.782,589.4962,5532.997,28740.34
02/15/16,04:05:00,1700,1840.78,598.2654,5629.888,29260.11
02/15/16,04:06:00,1700,1841.642,599.9624,5633.354,29259.64
02/15/16,04:07:00,1700,1840.303,600.1985,5632.44,29228.69
02/15/16,04:08:00,1700,1841.472,575.0725,5359.895,27838.39
02/15/16,04:09:00,1700,1840.967,582.2965,5452.104,28323.66
02/15/16,04:10:00,1700,1840.652,584.9965,5471.041,28423.5
02/15/16,04:11:00,1700,1840.983,589.6597,5526.487,28704.66
02/15/16,04:12:00,1700,1841.737,587.3608,5491.806,28515.32
02/15/16,04:13:00,1700,1841.851,594.7744,5574.438,28976.54
02/15/16,04:14:00,1700,1841.257,596.2515,5582.716,28999.33
02/15/16,04:15:00,1700,1841.243,601.6588,5634.643,29256.15
02/15/16,04:16:00,1700,1842.295,572.8492,5332.868,27697.21
02/15/16,04:17:00,1700,1841.27,598.3995,5606.46,29115.66
02/15/16,04:18:00,1700,1840.975,596.1551,5603.36,29093.45
02/15/16,04:19:00,1700,1841.277,596.6771,5579.322,28969.62
02/15/16,04:20:00,1700,1840.956,598.8245,5615.261,29166.3
02/15/16,04:21:00,1700,1841.827,598.0073,5619.518,29194.75
02/15/16,04:22:00,1700,1841.834,594.5707,5573.726,28928.45
02/15/16,04:23:00,1700,1841.299,584.7304,5460.252,28342.96
02/15/16,04:24:00,1700,1841.552,591.1724,5530.873,28716.79
02/15/16,04:25:00,1700,1840.974,596.8073,5583.979,28993.16
02/15/16,04:26:00,1700,1840.963,596.8043,5577.284,28954.05
02/15/16,04:27:00,1700,1840.018,593.8844,5550.185,28834.44
02/15/16,04:28:00,1700,1841.521,589.3737,5506.988,28671.45
02/15/16,04:29:00,1700,1840.991,586.0358,5472.186,28417.98
02/15/16,04:30:00,1700,1840.006,581.8306,5429.73,28288.29
02/15/16,04:31:00,1700,1840.865,594.248,5588.788,29008.58
02/15/16,04:32:00,1700,1841.263,592.8486,5560.027,28951.39
