$Date,$Time,PI-101B,PZI-102B,PI-401B,PI-402B,PDI-401B,TI-402B,LI-401B
02/15/16,22:04:00,141.0038,140.8829,387.3306,381.4722,26.26564,48.99549,85.37759
02/15/16,22:05:00,141.0244,140.9412,388.5254,382.3076,26.2674,48.98275,85.35324
02/15/16,22:06:00,140.6771,140.6419,387.3379,381.9746,26.32263,49.0175,85.34796
02/15/16,22:07:00,141.2668,141.1456,388.2744,382.6084,26.40697,48.95008,85.37675
02/15/16,22:08:00,140.9961,140.8613,387.2092,381.5122,26.16856,48.98692,85.39326
02/15/16,22:09:00,140.9006,140.7914,387.9771,382.1377,26.34693,48.97281,85.39711
02/15/16,22:10:00,140.7507,140.6611,386.6589,381.2412,26.2682,48.95459,85.33949
02/15/16,22:11:00,141.2818,141.1281,387.3467,381.554,26.28983,49.0279,85.32632
02/15/16,22:12:00,140.798,140.7581,387.0156,381.2542,26.38275,49.02717,85.40274
02/15/16,22:13:00,141.1442,140.9905,387.7559,382.0569,26.30405,48.96559,85.39331
02/15/16,22:14:00,140.8058,140.7328,387.5732,382.2668,26.15639,49.10462,85.37202
02/15/16,22:15:00,140.3768,140.5952,386.3372,380.4629,26.32614,49.01952,85.31186
02/15/16,22:16:00,140.9399,140.8939,388.0337,382.2166,26.33957,48.96717,85.33708
02/15/16,22:17:00,141.03,140.9305,388.2371,382.5181,26.32576,49.0244,85.17622
02/15/16,22:18:00,141.0904,141.0487,388.1406,382.1101,26.34365,48.97863,85.13829
02/15/16,22:19:00,141.0996,141.0157,388.4155,382.937,26.34544,48.99311,85.13255
02/15/16,22:20:00,141.0364,140.9951,387.5117,381.897,26.18858,49.00719,85.14374
02/15/16,22:21:00,141.2753,141.2264,389.0439,383.2024,26.27136,49.10874,85.13382
02/15/16,22:22:00,141.2838,141.4245,388.6345,382.6929,26.41331,48.99168,85.10257
02/15/16,22:23:00,141.0319,140.9302,388.1431,382.1672,26.31565,49.03535,85.1171
02/15/16,22:24:00,141.4066,141.0978,388.5916,382.4431,26.29841,49.0227,85.16858
02/15/16,22:25:00,141.4626,141.3417,388.4868,382.4819,26.48705,48.98033,85.15817
02/15/16,22:26:00,141.2588,141.2256,388.3582,382.5737,26.24496,48.99537,85.1577
02/15/16,22:27:00,141.2387,141.1691,388.5234,382.8306,26.37981,49.0002,85.10835
02/15/16,22:28:00,141.1938,141.1975,388.0359,382.519,26.41815,48.94477,85.13968
02/15/16,22:29:00,141.1199,140.9952,388.0671,382.196,26.25008,49.02481,85.11389
02/15/16,22:30:00,140.9649,140.9555,388.3374,382.4858,26.23768,48.9241,85.09694
02/15/16,22:31:00,141.1173,141.1042,388.5745,382.8948,26.38088,48.97971,85.2216
02/15/16,22:32:00,141.0617,140.9013,388.0852,382.2339,26.39633,49.07837,85.12715
02/15/16,22:33:00,141.108,141.0468,388.5376,382.9202,26.37409,48.95376,85.03926
02/15/16,22:34:00,141.1442,140.964,387.9031,381.8115,26.32298,48.92979,85.15131
02/15/16,22:35:00,141.2073,141.1329,388.1831,382.6953,26.4238,49.02891,85.06331
02/15/16,22:36:00,141.2565,141.1594,388.5242,382.6755,26.36154,48.99707,85.06328
02/15/16,22:37:00,141.1802,141.1169,387.8701,382.4011,26.33495,48.95442,85.18076
02/15/16,22:38:00,141.0528,141.0994,388.3772,382.3945,26.43112,48.99738,85.23753
02/15/16,22:39:00,140.9573,140.9027,387.4216,381.6453,26.27331,48.93229,85.18362
02/15/16,22:40:00,140.9331,140.9037,387.5083,381.6284,26.30432,48.93629,85.18379
02/15/16,22:41:00,141.1483,141.0631,387.1724,381.0508,26.39137,49.02426,85.25839
02/15/16,22:42:00,140.8906,140.8666,387.9434,381.9287,26.48018,48.9416,85.21822
