$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,01:28:00,749.8322,2634.612,83.01392,25.27672,107.5129,106.5093,2634.112,1.326351,0.09881449,0.1004873
02/15/16,01:29:00,762.4121,2616.685,85.59174,25.37941,107.2735,106.3522,2611.804,1.301969,0.1000515,0.09951
02/15/16,01:30:00,729.7925,2550.645,79.56142,25.45792,107.3767,106.4255,2545.508,1.319382,0.09727676,0.09993626
02/15/16,01:31:00,761.6089,2554.321,91.5107,24.54295,107.9096,106.864,2548.87,1.27581,0.1029603,0.09830604
02/15/16,01:32:00,757.8479,2660.327,86.25496,25.28787,107.1367,106.213,2654.449,1.326844,0.1003667,0.1002544
02/15/16,01:33:00,767.9065,2627.147,87.03918,25.39185,107.2773,106.3242,2626.099,1.302944,0.09985994,0.1001022
02/15/16,01:34:00,760.3467,2617.223,83.00968,25.57642,107.1426,105.8195,2613.928,1.297556,0.09783014,0.09940805
02/15/16,01:35:00,768.0225,2615.217,88.26511,25.3588,106.9328,105.9706,2615.948,1.288339,0.1011193,0.09910898
02/15/16,01:36:00,771.0754,2645.881,87.45178,25.53725,107.1855,106.0403,2642.544,1.295627,0.1006391,0.09941173
02/15/16,01:37:00,755.5774,2632.928,83.43346,25.34677,107.4483,106.4065,2634.726,1.310676,0.0987181,0.09978285
02/15/16,01:38:00,744.0369,2671.111,82.43629,25.5408,107.2846,106.3597,2666.234,1.352118,0.09915713,0.1011828
02/15/16,01:39:00,763.3655,2662.842,86.17756,25.76624,108.0839,106.9087,2659.161,1.314137,0.1000072,0.09995662
02/15/16,01:40:00,707.8351,2564.177,81.16879,25.26817,107.5774,106.7002,2561.319,1.357286,0.1004795,0.1015705
02/15/16,01:41:00,705.5432,2527.415,82.95132,24.4801,108.4591,107.0656,2524.846,1.347753,0.1014653,0.1011043
02/15/16,01:42:00,733.4229,2588.344,87.82433,24.50053,108.3621,107.2276,2578.466,1.326849,0.1020542,0.1003338
02/15/16,01:43:00,745.0104,2642.54,83.8995,25.09525,107.3049,106.5302,2637.439,1.335915,0.09942358,0.1006529
02/15/16,01:44:00,753.5223,2640.933,87.87571,25.51164,107.531,106.5727,2635.504,1.314324,0.1010278,0.1000461
02/15/16,01:45:00,755.7385,2643.619,82.53017,25.78418,107.2023,106.4562,2641.257,1.319654,0.09773715,0.100308
02/15/16,01:46:00,760.5353,2644.86,86.83113,25.47084,107.4295,106.3966,2640.54,1.305202,0.1003007,0.0998222
02/15/16,01:47:00,744.5428,2587.747,82.0298,25.30933,107.6372,106.4805,2579.55,1.303085,0.09874891,0.09979615
02/15/16,01:48:00,741.1157,2604.081,86.20693,24.65472,107.3485,106.642,2600.042,1.320812,0.1010331,0.1002535
02/15/16,01:49:00,752.6605,2637.569,83.2399,25.0387,107.2428,106.3543,2640.984,1.322329,0.09898322,0.1003195
02/15/16,01:50:00,764.4232,2634.431,86.85898,25.15073,107.1634,106.0852,2630.305,1.300791,0.1001166,0.09947523
02/15/16,01:51:00,730.9015,2588.203,78.93864,25.18515,106.9703,106.0096,2583.716,1.327435,0.09752508,0.1004414
02/15/16,01:52:00,750.2368,2607.773,92.05654,24.62451,106.9732,106.2899,2604.716,1.313758,0.103937,0.09993743
