$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,01:38:00,106.6555,516.7583,7.601013,7368.643,20.19529,105.5107,105.6456,102.4388,102.4139
02/15/16,01:39:00,106.6698,515.2808,7.758446,7349.591,20.12593,105.263,105.4765,102.6633,102.642
02/15/16,01:40:00,106.7155,515.1448,7.641602,7189.841,19.7897,104.1884,104.3089,101.7525,101.7664
02/15/16,01:41:00,106.6979,515.8052,7.642212,6947.553,19.40439,104.2337,104.4198,101.7115,101.6818
02/15/16,01:42:00,106.6945,516.624,7.585068,7175.244,19.78674,105.1163,105.3549,102.5383,102.5308
02/15/16,01:43:00,106.6596,515.8536,7.608871,7353.406,20.09895,105.4609,105.6675,102.3906,102.4371
02/15/16,01:44:00,106.6051,516.636,7.568512,7338.196,20.05657,105.5277,105.6671,102.7404,102.7391
02/15/16,01:45:00,106.6351,516.1508,7.595253,7327.896,20.05322,105.3211,105.4785,102.6027,102.5826
02/15/16,01:46:00,106.6118,516.1591,7.741241,7295.773,20.00496,105.1854,105.4935,102.8536,102.8476
02/15/16,01:47:00,106.6223,516.4185,7.645149,7137.387,19.70471,104.9326,105.0565,102.5887,102.6006
02/15/16,01:48:00,106.818,515.0961,7.662163,7116.132,19.72686,105.0381,105.2408,102.2991,102.314
02/15/16,01:49:00,106.7597,515.0302,7.667236,7271.805,20.00508,105.5071,105.6992,102.5226,102.5098
02/15/16,01:50:00,106.626,515.7733,7.635498,7290.03,19.98535,105.6136,105.809,102.996,102.9675
02/15/16,01:51:00,106.6555,516.6348,7.56958,7188.904,19.81047,105.1292,105.2489,102.5092,102.507
02/15/16,01:52:00,106.6942,515.9137,7.624512,7066.757,19.68718,105.5422,105.7165,102.6337,102.6276
02/15/16,01:53:00,106.5728,516.2772,7.596855,7329.379,20.0917,105.5894,105.9651,102.6973,102.7019
02/15/16,01:54:00,106.6438,516.4523,7.601166,7384.186,20.11526,105.3818,105.5067,103.0007,102.9937
